"Kod","Xodim","Role","Brend","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","Foto kamligi","Sababli","Shtraf","Ish kuni"
"JYAN004","Unknown route","unknown","sof","","","","20","20","20","","1","19s","","","","","","","","","","","","","","","","","","","","","","1","1","0","4"
"JYAN005","Unknown route","unknown","sof","","","","24","22","25","","24","0","","","","","","","","","","","","","","","","","","","","","","1","0","0","4"
"JYAN006","Unknown route","unknown","sof","","","","30","27","26","","24","21","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYAN007","Unknown route","unknown","sof","","","","28","27","26","","24","30","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYAN008","Unknown route","unknown","sof","","","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","5","0","1","0"
"JYAN101","Vacant","vacant","sof","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0"
"JYAN101","Abduraximov Xurshid","agent","sof","","","","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","4","0","1","0"
"JYAN102","Unknown route","unknown","sof","","","","29","19","24","","21","25","","","","","","","","","","","","","","","","","","","","","","1","0","0","4"
"JYAN103","Unknown route","unknown","sof","","","","20","27","20","","21","28","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYAN105","Unknown route","unknown","sof","","","","22","22","23","","21","55","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYAN106","Unknown route","unknown","sof","","","","20","20","20","","20","22","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYBX002","Unknown route","unknown","sof","","","","22","22","21","","20","23","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYBX003","Unknown route","unknown","sof","","","","21","32","22","","24","22","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYBX004","Unknown route","unknown","sof","","","","23","20","27","","23","26","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYBX005","Unknown route","unknown","sof","","","","20","26","20","","24","20","","","","","","","","","","","","","","","","","","","","","","0","0","0","5"
"JYFA002","Unknown route","unknown","sof","","","","37","32","26","","31","13","","","","","","","","","","","","","","","","","","","","","","1","0","0","4"
"JYFA003","Unknown route","unknown","sof","","","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","5","0","1","0"
